OrderType,OrderCategory,CustomerCode,CountryName,CustomerOrderNo,Custorderdate,UnitName,QtyRequired,TotalArea,Amount,ITEM_NAME,QualityName,DesignName,ColorName,ShapeName,AreaFt
Area Wise,Sample,A-9,USA,23-AUG19_SAMPLE-7,2019-08-23,Ft,2,40.0,0.0,HAND TUFTED,TUFTED 60C ALL CUT,10505(MERRICK RUG),BEIGE,REC,40.0
Area Wise,Sample,A-9,USA,23-AUG19_SAMPLE-7,2019-08-23,Ft,2,25.0,0.0,HAND TUFTED,TUFTED 60C ALL CUT,10504(AVELINE RUG),BLUE,ROUND,25.0
Area Wise,Sample,CC,INDIA,23-AUG19-SAMPLE-8,2019-08-23,Ft,1,24.0,0.0,DURRY,FLATWOVEN COTTON+10C,INDIANA [10498],DK. GREY,REC,24.0
Area Wise,Sample,CC,INDIA,23-AUG19_SAMPLE-9,2019-08-23,Mtr,1,3.68,0.0,HAND TUFTED,TUFTED 60C+10C,10522,GREY,REC,39.8125
Area Wise,Sample,CC,INDIA,23-AUG19-SAMPLE-8,2019-08-23,Ft,1,24.0,0.0,DURRY,FLATWOVEN COTTON,SHADED,BLACK/WHITE,REC,24.0
Area Wise,Sample,CC,INDIA,23-AUG19_SAMPLE-9,2019-08-23,Mtr,1,3.68,0.0,HAND TUFTED,TUFTED 60C LOOP/CUT,10520,TAUPE,REC,39.8125
Area Wise,Sample,CC,INDIA,S 87,2019-09-24,Ft,1,39.8125,0.0,HAND TUFTED,TUFTED 60C LOOP/CUT,10520,TAUPE,REC,39.8125
Area Wise,Sample,CC,INDIA,23-AUG19_SAMPLE-9,2019-08-23,Mtr,1,3.68,0.0,HAND TUFTED,TUFTED 60C+10C LOOP/CUT,10521,BLUE/MULTI,REC,39.8125
Area Wise,Sample,CC,INDIA,23-AUG19_SAMPLE-9,2019-08-23,Mtr,1,3.68,0.0,HAND TUFTED,TUFTED 60C ALL LOOP,10502,SILVER/NAVY,REC,39.8125
Area Wise,Sample,CC,INDIA,24-AUG19_SAMPLE-1,2019-08-24,Mtr,1,3.68,0.0,HANDWOVEN,HAND WOVEN 60C+10C,EGYPT [10450],BLACK 3,REC,39.8125
Area Wise,Sample,CC,INDIA,24-AUG19_SAMPLE-2,2019-08-24,Ft,1,6.0,0.0,DURRY,FLATWOVEN COTTON+8C,10526 [POM POM],GREY/BLACK,REC,6.0
Area Wise,Sample,CC,INDIA,24-AUG19_SAMPLE-2,2019-08-24,Ft,1,6.0,0.0,DURRY,FLATWOVEN COTTON+8C,10526 [POM POM],GREY/BEIGE,REC,6.0
Area Wise,Sample,CC,INDIA,24-AUG19_SAMPLE-2,2019-08-24,Ft,1,6.0,0.0,DURRY,FLATWOVEN COTTON+8C,10526 [POM POM],DENIM BLUE,REC,6.0
Area Wise,Sample,CC,INDIA,24-AUG19_SAMPLE-3,2019-08-24,Mtr,1,3.68,0.0,HAND TUFTED,TUFTED 60C ALL LOOP,HUDSON [9593],CHARCOAL,REC,39.8125
Area Wise,Sample,CC,INDIA,24-AUG19_SAMPLE-3,2019-08-24,Mtr,1,3.68,0.0,HAND TUFTED,TUFTED 60C ALL LOOP,10533,CHARCOAL,REC,39.8125
Area Wise,Sample,T-5,UK,S 106,2019-09-26,Ft,1,9.0,0.0,HAND TUFTED,TUFTED 60C SEMI WORSTED,8610(FLEURY),159,ROUND,9.0
Area Wise,Sample,CC,INDIA,Sample-24-AUG-19 (B),2019-08-24,Mtr,1,2.16,0.0,JACQUARD,SARI JACQUARD 8C+DP+LATHER,SAMPLE,CREAM,REC,24.0
Area Wise,Sample,M-1,USA,Sample-14-AUG-19 ,2019-08-14,Ft,1,3.0,0.0,KNOTTED,KNOTTED 3/25 30C MS NZ,DOUBLE DIAMOND,TAUPE,REC,3.0
Area Wise,Sample,CC,INDIA,24-AUG19_SAMPLE-4,2019-08-24,Mtr,1,3.68,0.0,HAND TUFTED,TUFTED 60C 2PLY ALL LOOP,10530,MULTI,REC,39.8125
Area Wise,Sample,CC,INDIA,24-AUG19_SAMPLE-6,2019-08-24,Mtr,1,3.68,0.0,HAND TUFTED,TUFTED 60C 2PLY ALL LOOP,10507,GREY,REC,39.8125
Area Wise,Sample,CC,INDIA,24-AUG19_SAMPLE-5,2019-08-24,Mtr,1,3.68,0.0,HAND TUFTED,TUFTED 52C 2PLY WOOL ALL LOOP,9872 B [KENNEDY],PLUM,REC,39.8125
Area Wise,Sample,CC,INDIA,26-AUG19_SAMPLE-1,2019-08-26,Ft,1,6.0,0.0,DURRY,FLATWOVEN COTTON+8C,DIAMOND,RED,REC,6.0
Area Wise,Sample,CC,INDIA,26-AUG19_SAMPLE-1,2019-08-26,Ft,1,6.0,0.0,DURRY,FLATWOVEN COTTON+8C,DIAMOND,YELLOW,REC,6.0
Area Wise,Sample,CC,INDIA,26-AUG19_SAMPLE-1,2019-08-26,Ft,1,24.0,0.0,DURRY,FLATWOVEN COTTON+8C,JAAL,YELLOW,REC,24.0
Area Wise,Sample,CC,INDIA,26-AUG19_SAMPLE-3,2019-08-26,Ft,1,6.0,0.0,DURRY,FLATWOVEN COTTON+10C,10527,BEIGE,REC,6.0
Area Wise,Sample,CC,INDIA,26-AUG19_SAMPLE-3,2019-08-26,Ft,1,6.0,0.0,DURRY,FLATWOVEN COTTON+10C,10527,BLUE,REC,6.0
Area Wise,Sample,CC,INDIA,26-AUG19_SAMPLE-3,2019-08-26,Ft,1,6.0,0.0,DURRY,FLATWOVEN COTTON+10C,10527,BLACK,REC,6.0
Area Wise,Sample,CC,INDIA,26-AUG19_SAMPLE-4,2019-08-26,Ft,1,4.0,0.0,DOUBLE BACK,D.B. VISCOSE 2/16 5PLY,TIP SHEARD,DK.BEIGE,REC,4.0
Area Wise,Sample,CC,INDIA,26-AUG19_SAMPLE-4,2019-08-26,Ft,1,4.0,0.0,DOUBLE BACK,D.B. VISCOSE 2/16 5PLY,TIP SHEARD,GREY,REC,4.0
Area Wise,Sample,CC,INDIA,26-AUG19_SAMPLE-4,2019-08-26,Ft,1,4.0,0.0,DOUBLE BACK,D.B. VISCOSE 2/16 5PLY,TIP SHEARD,LT BLUE,REC,4.0
Area Wise,Sample,CC,INDIA,26-AUG19_SAMPLE-4,2019-08-26,Ft,1,4.0,0.0,DOUBLE BACK,D.B. VISCOSE 2/16 5PLY,TIP SHEARD,ANTHRACITE,REC,4.0
Area Wise,Sample,CC,INDIA,26-AUG19_SAMPLE-5,2019-08-26,Ft,1,39.8125,0.0,HAND TUFTED,TUFTED 60C ALL LOOP,10531(HUDSON),GREY,REC,39.8125
Area Wise,Order,K-2,BRAZIL,23082019,2019-08-27,Mtr,6,0.54,61.56,DURRY,FLATWOVEN 30C/45C PET YARN,PET BRAID,BEIGE,REC,6.0
Area Wise,Order,K-2,BRAZIL,23082019,2019-08-27,Mtr,1,60.0,1140.0,DURRY,FLATWOVEN 30C/45C PET YARN,PET BRAID,BEIGE,REC,645.7222
Area Wise,Order,K-2,BRAZIL,23082019,2019-08-27,Mtr,1,60.0,1140.0,DURRY,FLATWOVEN 30C/45C PET YARN,PET BRAID,SILVER,REC,645.7222
Area Wise,Order,K-2,BRAZIL,23082019,2019-08-27,Mtr,6,0.54,61.56,DURRY,FLATWOVEN 30C/45C PET YARN,PET BRAID,SILVER,REC,6.0
Area Wise,Order,K-2,BRAZIL,23082019,2019-08-27,Mtr,6,0.54,61.56,DURRY,FLATWOVEN 30C/45C PET YARN,PET BRAID,GREY,REC,6.0
Area Wise,Order,K-2,BRAZIL,23082019,2019-08-27,Mtr,2,6.0,228.0,DURRY,FLATWOVEN 30C/45C PET YARN,PET BRAID,ARS-600,REC,64.7361
Area Wise,Order,K-2,BRAZIL,23082019,2019-08-27,Mtr,2,7.5,285.0,DURRY,FLATWOVEN 30C/45C PET YARN,PET BRAID,ARS-600,REC,80.3056
Area Wise,Order,K-2,BRAZIL,23082019,2019-08-27,Mtr,2,8.75,332.5,DURRY,FLATWOVEN 30C/45C PET YARN,PET BRAID,ARS-600,REC,93.2361
Area Wise,Order,K-2,BRAZIL,23082019,2019-08-27,Mtr,2,12.0,456.0,DURRY,FLATWOVEN 30C/45C PET YARN,PET BRAID,ARS-600,REC,133.3333
Area Wise,Order,K-2,BRAZIL,23082019,2019-08-27,Mtr,1,15.75,299.25,DURRY,FLATWOVEN 30C/45C PET YARN,PET BRAID,ARS-600,REC,169.625
Area Wise,Order,K-2,BRAZIL,23082019,2019-08-27,Mtr,1,24.0,456.0,DURRY,FLATWOVEN 30C/45C PET YARN,PET BRAID,ARS-600,REC,258.9444
Area Wise,Sample,CC,INDIA,27-AUG19_SAMPLE-2,2019-08-27,Ft,1,24.0,0.0,DURRY,FLATWOVEN COTTON+8C,10524,BLACK/GREY,REC,24.0
Area Wise,Sample,CC,INDIA,27-AUG19_SAMPLE-5,2019-08-27,Ft,1,39.8125,0.0,HAND TUFTED,TUFTED 60C+VISC 2/16 5PLY LOOP/CUT,10532(SAROUK),RUST,REC,39.8125
Area Wise,Sample,CC,INDIA,27-AUG19_SAMPLE-5,2019-08-27,Ft,1,24.0,0.0,DURRY,FLATWOVEN COTTON+8C,10524,DENIM,REC,24.0
Area Wise,Sample,CC,INDIA,27-AUG19_SAMPLE-5,2019-08-27,Ft,1,40.0,0.0,HANDWOVEN,HAND WOVEN 60C+8C,EGYPT [10450],IVORY/BLACK,REC,40.0
Area Wise,Sample,T-5,UK,S 285,2019-10-14,Ft,1,39.8125,0.0,HAND TUFTED,TUFTED 60C LOOP/CUT,9785(IKAT),BLUE,REC,39.8125
Area Wise,Sample,CC,INDIA,28-AUG19_SAMPLE-1,2019-08-28,Ft,1,39.8125,0.0,HAND TUFTED,TUFTED 60C ALL LOOP,10535,GREY,REC,39.8125
Area Wise,Sample,CC,INDIA,28-AUG19_SAMPLE-2,2019-08-28,Ft,2,1.9444,0.0,DURRY,FLATWOVEN PET 60C 2PLY,SAMPLE,BLUSH,REC,1.9444
Area Wise,Sample,CC,INDIA,28-AUG19_SAMPLE-2,2019-08-28,Ft,2,1.9444,0.0,DURRY,FLATWOVEN PET 60C 2PLY,SAMPLE,BLACK,REC,1.9444
Area Wise,Sample,CC,INDIA,28-AUG19_SAMPLE-5,2019-08-28,Ft,1,24.0,0.0,DURRY,FLATWOVEN COTTON+10C,SAMPLE,MULTI,REC,24.0
Area Wise,Sample,M-1,USA,Sample-10-May-19 (Az),2019-05-10,Ft,1,16.0,0.0,KNOTTED,KNOTTED 3/25 60C PET YARN,10141,SAND,REC,16.0
Pc Wise,Order,T-2,ITALY,1894,2019-10-23,Mtr,5,6.0,1404.0,HAND TUFTED,TUFTED 60C ALL LOOP,10534(YUMBE),GOLD,REC,64.7361
Area Wise,Sample,CC,INDIA,29-AUG19_SAMPLE-3,2019-08-29,Ft,1,64.7361,0.0,HAND TUFTED,TUFTED 60C ALL LOOP,10534(YUMBE),GOLD,REC,64.7361
Area Wise,Sample,CC,INDIA,29-AUG19_SAMPLE-3,2019-08-29,Ft,1,64.7361,0.0,HAND TUFTED,TUFTED 60C ALL LOOP,10478(YONKER),BLACK/WHITE,REC,64.7361
Pc Wise,Order,T-2,ITALY,1894,2019-10-23,Mtr,5,6.0,1755.0,HAND TUFTED,TUFTED 60C ALL LOOP,10478(YONKER),BLACK/WHITE,REC,64.7361
