OrderType,OrderCategory,CustomerCode,CountryName,CustomerOrderNo,Custorderdate,UnitName,QtyRequired,TotalArea,Amount,ITEM_NAME,QualityName,DesignName,ColorName,ShapeName,AreaFt
Area Wise,Order,H-2,USA,731163,2019-08-16,Ft,80,8.4375,506.25,DURRY,FLATWOVEN 60C+10C+COTTON,JONES,DENIM,REC,8.4375
Pc Wise,Order,A-9,USA,Calder Rug,2019-08-14,Ft,50,1.0,190.0,HAND TUFTED,TUFTED 60C+VISC 2/16 5PLY LOOP/CUT,CALDER RUG [10413],MULTI,REC,1.0
Area Wise,Sample,A-9,USA,S 961,2019-12-25,Ft,10,1.0,0.0,HAND TUFTED,TUFTED 60C+VISC 2/16 5PLY LOOP/CUT,CALDER RUG [10413],MULTI,REC,1.0
Pc Wise,Order,A-9,USA,Calder Rug,2019-08-14,Ft,42,6.0,957.6,HAND TUFTED,TUFTED 60C+VISC 2/16 5PLY LOOP/CUT,CALDER RUG [10413],MULTI,REC,6.0
Area Wise,Sample,A-9,USA,S 961,2019-12-25,Ft,1,6.0,0.0,HAND TUFTED,TUFTED 60C+VISC 2/16 5PLY LOOP/CUT,CALDER RUG [10413],MULTI,REC,6.0
Pc Wise,Order,A-9,USA,Calder Rug,2019-08-14,Ft,8,22.5,684.0,HAND TUFTED,TUFTED 60C+VISC 2/16 5PLY LOOP/CUT,CALDER RUG [10413],MULTI,REC,22.5
Pc Wise,Order,A-9,USA,Calder Rug,2019-08-14,Ft,8,108.0,3283.2,HAND TUFTED,TUFTED 60C+VISC 2/16 5PLY LOOP/CUT,CALDER RUG [10413],MULTI,REC,108.0
Pc Wise,Order,A-9,USA,Calder Rug,2019-08-14,Ft,38,15.0,2166.0,HAND TUFTED,TUFTED 60C+VISC 2/16 5PLY LOOP/CUT,CALDER RUG [10413],MULTI,REC,15.0
Area Wise,Sample,A-9,USA,16-AUG19_SAMPLE-3,2019-08-16,Ft,1,40.0,0.0,HAND TUFTED,TUFTED 60C+VISC 2/16 5PLY LOOP/CUT,10506 [MIZA RUG],BLUE,REC,40.0
Area Wise,Sample,A-9,USA,16-AUG19_SAMPLE-3,2019-08-16,Ft,1,15.0,0.0,HAND TUFTED,TUFTED 60C+VISC 2/16 5PLY LOOP/CUT,10506 [MIZA RUG],BLUE,REC,15.0
Area Wise,Sample,N-1,USA,16-AUG19_SAMPLE-1,2019-08-16,Ft,3,3.75,0.0,HAND TUFTED,TUFTED 60C 2PLY PET HOLO ALL LOOP,WELCOME PINEAPPLE TOSS,IVORY,REC,3.75
Area Wise,Order,N-1,USA,025744 & 025991,2019-10-18,Mtr,510,0.342,1840.131,HAND TUFTED,TUFTED 60C 2PLY PET HOLO ALL LOOP,WELCOME PINEAPPLE TOSS,IVORY,REC,3.75
Area Wise,Sample,N-1,USA,16-AUG19_SAMPLE-1,2019-08-16,Ft,3,3.75,0.0,HAND TUFTED,TUFTED 60C 2PLY PET HOLO ALL LOOP,WATERCOLOR SHELLS AND SEAHORSE,NAVY,REC,3.75
Area Wise,Sample,CC,INDIA,16-AUG19_SAMPLE-2,2019-08-16,Mtr,1,3.68,0.0,HAND TUFTED,TUFTED 60C ALL CUT,MERRIC RUG [10503],BEIGE,REC,39.8125
